1A01,0.87603
1CAU,0.78606
1CP3,0.91432
1A6E,0.97715
1BM2,0.84058
1CAW,0.78636
1A9W,0.87002
1BBB,0.85669
1CG8,0.88785
1A0Z,0.8799
1DD3,0.81773
1B0N,0.61452
1A3N,0.87826
1BZ9,0.79901
1BZ1,0.87504
1A0U,0.88446
1CAV,0.79071
1AD9,0.74214
1D0A,0.66905
1DD4,0.67555
1C9L,0.99944
1C3A,0.84494
1BIJ,0.83603
1C9I,0.99596
1CG5,0.90566
1BUW,0.8622
1AXD,0.99555
1A4F,0.898
1B86,0.88437
1BND,0.89417
1DXT,0.8726
1BV4,0.73315
1A3O,0.87419
1BT6,0.6798
1A3I,0.89948
1AJ9,0.88134
1DVF,0.77187
1COH,0.87658
1DXV,0.87932
1A00,0.88036
1A6D,0.97151
1C40,0.89841
1BZZ,0.8749
1BZ0,0.8752
1CMY,0.88139
1CI6,0.69967
1CF8,0.6069
1BFV,0.8076
1B8D,0.79734
1BAB,0.8761
1DXU,0.87815
1CLS,0.88011
1CPC,0.83603
1A3J,0.96956
1C7B,0.87664
1D0J,0.99796
1D00,0.98772
1AIK,0.78611
1DKE,0.874
1ALL,0.90894
1DKY,0.99887
1CAX,0.78282
1A38,1.0
1A37,1.0
1G5Q,0.99734
1GCV,0.85875
1GL2,0.75753
1GME,0.60665
1GH0,0.82752
1GLI,0.88054
1HDB,0.87553
1GBU,0.87716
1G0A,0.88023
1H1L,0.70798
1G09,0.89217
1HBB,0.88307
1HGA,0.88147
1G0U,0.66538
1GWQ,0.9973
1HCO,0.88168
1FYR,0.75577
1HDA,0.88945
1I7Y,0.82767
1HBS,0.8693
1HA7,0.8251
1F1J,0.99069
1EO9,0.66422
1FVU,0.77018
1HHO,0.88151
1F99,0.82918
1IBE,0.88456
1EO2,0.66332
1HGC,0.88028
1HTM,0.86665
1GUL,1.0
1EYX,0.7944
1EOB,0.66553
1HBH,0.88367
1F1W,0.66735
1G2C,0.61857
1HGB,0.88412
1HBA,0.87923
1EOA,0.66529
1FIP,0.97837
1FDH,0.88365
1G0B,0.88861
1G08,0.89274
1FAW,0.90129
1FCH,0.69301
1GZX,0.88429
1HBR,0.90148
1FP4,0.70748
1HAB,0.88857
1GBV,0.87899
1FAV,0.77674
1EOC,0.66487
1F3D,0.77145
1GCW,0.83271
1G65,0.65451
1HAC,0.88693
1HIO,0.63212
1GYB,0.95508
1I85,0.64744
1HDS,0.85277
1H2S,0.65939
1FSX,0.8874
1FXK,0.6544
1F95,0.96372
1FN3,0.85092
1FX0,0.83715
1HV4,0.87992
1G9V,0.87708
1FHJ,0.90091
1J3Y,0.87489
1LJW,0.88564
1IGM,0.79341
1JVQ,0.90737
1M72,0.97938
1J05,0.78038
1KV6,0.67637
1JUQ,0.93158
1IRD,0.88904
1K1K,0.88623
1KMH,0.83904
1J41,0.86788
1JTH,0.77874
1LFL,0.87511
1J7S,0.87749
1JY7,0.87945
1JD2,0.66769
1MF2,0.63659
1LFQ,0.88587
1KIL,0.6828
1LFZ,0.87615
1ISQ,0.60394
1LDP,0.74821
1JOJ,0.99598
1KTP,0.82967
1LFV,0.88209
1IWH,0.88498
1KD2,0.88034
1L6O,0.94717
1M3D,0.9486
1LP1,0.9256
1JEB,0.85876
1KO6,0.98876
1LK6,0.90807
1J7Y,0.87755
1IRU,0.65405
1L5H,0.6176
1JBO,0.82971
1M1N,0.70651
1KN1,0.90103
1J2Q,0.85294
1MKO,0.8706
1LA6,0.92999
1JEK,0.85927
1LFT,0.88756
1M9P,0.84823
1KL3,0.98311
1LIA,0.79296
1J7W,0.87227
1J40,0.86516
1LFY,0.88395
1J3Z,0.87096
1IXX,0.82533
1KL5,0.98396
1IGF,0.62089
1L4A,0.60999
1KJ4,0.93324
1LI1,0.94638
1K0Y,0.87632
1MIO,0.68383
1OUT,0.8938
1NQP,0.85058
1O9U,0.62319
1NEJ,0.85455
1O1O,0.87409
1OBY,0.6091
1OUU,0.89996
1OX9,0.98232
1NX1,0.62573
1NS9,0.88141
1QH8,0.70849
1OCW,0.88976
1OBX,0.94983
1OXN,0.95507
1PBX,0.89831
1MV9,0.73253
1PTU,0.63018
1NIH,0.88045
1O1K,0.88163
1NPO,0.97771
1OW8,0.70087
1Q3P,0.9154
1PMA,0.78333
1PWV,0.97473
1QI8,0.87589
1NJT,0.98649
1O9D,0.74074
1OED,0.89244
1NS6,0.85851
1PHN,0.82328
1PTS,0.98163
1PCG,0.94801
1O1I,0.8885
1ON7,0.78885
1OXQ,0.95362
1N6D,1.0
1N7S,0.67725
1NKK,0.96971
1PY1,0.96023
1Q5Q,0.75288
1Q5R,0.68937
1MVC,0.64157
1QGU,0.70761
1PG7,0.62918
1QC6,0.99979
1NH0,0.97433
1QH1,0.70789
1SLG,0.97484
1S5X,0.93638
1RJK,0.75009
1SYQ,0.71079
1R1K,0.77781
1R20,0.77812
1SOZ,0.94696
1SI4,0.84523
1T61,0.96073
1U3R,0.96622
1S0Y,0.74391
1RVW,0.88594
1R1X,0.88457
1SPG,0.89121
1T60,0.94068
1T1N,0.90379
1SHR,0.84533
1QUQ,0.65031
1QXE,0.86375
1RQ4,0.88497
1UIW,0.86385
1TZE,0.68362
1QPW,0.8856
1RYP,0.65637
1S5Y,0.8944
1RK3,0.72148
1THB,0.88554
1QZ2,0.9915
1R1Y,0.87098
1TFC,0.66277
1RQ3,0.88409
1UK4,0.97894
1RQF,0.93597
1RQA,0.87811
1SDL,0.88155
1SKY,0.8289
1R9N,0.99499
1RKG,0.75096
1RKH,0.66704
1QLS,0.66512
1TP5,0.75318
1SDK,0.88045
1R1L,0.90692
1QSI,0.87585
1SFC,0.65167
1RPS,0.8811
1S0H,0.86318
1RMH,0.99809
1TAF,0.7249
1QSH,0.87615
1U3S,0.64345
1QXD,0.86048
1QSC,0.62257
1R24,0.66514
1VWA,0.97488
1XYE,0.88183
1XB0,0.87271
1YDZ,0.87756
1XZ4,0.87612
1XZV,0.88241
1YE2,0.89177
1XZ7,0.88032
1YKP,0.6236
1Y2Z,0.88433
1Y85,0.88168
1V4X,0.88733
1X76,0.74163
1Y83,0.88533
1XZP,0.8828
1V6Q,0.74778
1Y8W,0.87316
1Y45,0.8864
1WYT,0.795
1Y7C,0.88359
1YKL,0.62487
1Y5F,0.88405
1YKN,0.62353
1UMR,0.86129
1UOS,0.81136
1URQ,0.69101
1V1T,0.63959
1V4L,0.76884
1V4U,0.89564
1V4W,0.8899
1V75,0.90743
1VPO,0.64455
1VWT,0.87526
1W9E,0.74816
1WCY,0.99671
1WMU,0.9028
1WT5,0.81148
1WVM,0.99563
1WYU,0.79726
1WYV,0.7971
1X27,0.9776
1X2W,0.8768
1X78,0.61917
1X7B,0.62323
1X7E,0.63631
1X7J,0.62396
1X7R,0.93588
1X9F,0.85903
1XB1,0.86534
1XB7,0.8104
1XF4,0.63977
1XK4,0.84366
1XQ5,0.88671
1XXT,0.88222
1XY0,0.88315
1XZ2,0.87583
1XZ5,0.88081
1XZQ,0.96396
1XZU,0.88135
1Y09,0.8823
1Y0A,0.88006
1Y0C,0.88113
1Y0D,0.8775
1Y0T,0.88349
1Y0W,0.8852
1Y22,0.88211
1Y31,0.88282
1Y35,0.88323
1Y46,0.88445
1Y4B,0.88661
1Y4F,0.88611
1Y4G,0.88544
1Y4P,0.8852
1Y4Q,0.88348
1Y4R,0.8823
1Y4V,0.88581
1Y5J,0.88142
1Y5K,0.88521
1Y74,0.65842
1Y76,0.64196
1Y7D,0.88487
1Y7G,0.88403
1Y7Z,0.88364
1Y8H,0.86264
1Y8I,0.8559
1Y8K,0.85554
1YBO,0.96571
1YCQ,0.72463
1YE0,0.89099
1YE1,0.88032
1YEN,0.85957
1YEO,0.87868
1YEQ,0.87949
1YEU,0.8755
1YEV,0.86047
1YFF,0.86607
1YG5,0.88161
1YGD,0.88151
1YGF,0.88715
1YH9,0.88895
1YHE,0.88774
1YHR,0.87652
1YHU,0.87185
1YIE,0.87906
1YIH,0.891
1YKK,0.62355
1YKM,0.62401
1YKO,0.62506
1YTV,0.60241
1YUC,0.64077
1YVL,0.83404
1YVQ,0.84883
1YVT,0.892
1YY4,0.76235
1YZI,0.89277
1Z6O,0.82939
1ZFP,0.74959
