trimer,max_rmsd,ptm
NHG,2.7522668838500977,0.8782972573577279
AGN,33.026527404785156,0.7509643016307738
KLC,36.31368637084961,0.7798500362798358
LMN,44.75646209716797,0.7783632483523653
JKD,60.18217086791992,0.6721882180879208
DEM,63.34320831298828,0.7854739942468846
MNF,4.065700054168701,0.8075352988881788
BCJ,1.8185423612594604,0.8033637460664995
KLE,34.2705078125,0.7030325429951751
IJB,3.058389663696289,0.8586663744949106
CDL,35.12532424926758,0.702080090821517
JKB,62.74374008178711,0.6900388670732724
MNH,66.86276245117188,0.9206297065366762
MNG,65.23373413085938,0.6839924748775339
KLM,3.74546217918396,0.8324018240978777
NHA,35.306949615478516,0.6945730714306936
JKL,77.51846313476562,0.7435347479594525
IJC,33.18291091918945,0.714718286759114
EFM,1.2012176513671875,0.8954011135011554
ABH,62.60275650024414,0.7036666185705616
JKC,3.070718288421631,0.7973112963764898
DEK,60.771484375,0.8106289871960237
BCI,32.7509765625,0.6622283197146566
IJK,61.40651321411133,0.8706632758134716
EFL,6.299221992492676,0.6122885048941291
DEL,2.3537557125091553,0.7750075257491967
NHF,38.353904724121094,0.7931736826787124
HIB,35.50264358520508,0.7937943970111614
KLD,1.5410600900650024,0.9022568263788455
LME,1.6019927263259888,0.8774153361149388
CDK,2.7705934047698975,0.8867529716816652
ABC,2.1179988384246826,0.7873048106459365
HIJ,2.2407755851745605,0.7453165322703236
CDE,75.72279357910156,0.8303556844054047
LMD,34.92852783203125,0.7112739635146332
FGH,63.779945373535156,0.7447547333802563
AGI,35.00111770629883,0.7687466639734957
BCK,33.50160217285156,0.6804977285138702
BCD,1.8438324928283691,0.8407929036514663
FGN,1.6317837238311768,0.8702310731382235
EFG,1.5294800996780396,0.8568434358965749
LMF,1.540219783782959,0.6490717521640235
EFN,4.389647006988525,0.7068740996437258
ABJ,62.56535720825195,0.6985570584712376
DEF,76.97492218017578,0.8541827101575947
AGH,2.539421558380127,0.8828598133672771
HIG,4.4582037925720215,0.7948747107275297
NHI,1.4175580739974976,0.7423088520231501
GAB,1.7366467714309692,0.7899521599070152
ABI,1.6840900182724,0.8400072172940694
MNE,48.106746673583984,0.7004012377891256
IJA,34.6823616027832,0.7193580655729356
CDJ,32.95023727416992,0.6538518499616048
HIA,1.7359158992767334,0.895897382619079
